search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
20,4,0.10944879701145685,0.04713419876314542,0.48026824168412513,0.2526808981238109,"{'activation': 'tanh', 'alpha': np.float64(0.040524521407285366), 'hidden_layer_sizes': (1024, 1024, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.004704247603123286), 'max_iter': 286, 'solver': 'adam'}",tanh,0.040524521407285366,"(1024, 1024, 256)",constant,0.004704247603123286,286,adam
21,0,0.2155651423739659,0.07861457324732905,1.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.02781037186497802), 'hidden_layer_sizes': (1024, 512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.03477959697936883), 'max_iter': 338, 'solver': 'lbfgs'}",logistic,0.02781037186497802,"(1024, 512, 256)",invscaling,0.03477959697936883,338,lbfgs
21,1,0.07233043927002737,0.03155815820057141,0.12740840620065516,0.06567433352650329,"{'activation': 'tanh', 'alpha': np.float64(7.458050392239415e-05), 'hidden_layer_sizes': (512, 512, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.040714520501912925), 'max_iter': 712, 'solver': 'adam'}",tanh,7.458050392239415e-05,"(512, 512, 256)",constant,0.040714520501912925,712,adam
21,2,0.1626487760605408,0.0495575826179767,0.6650609311158748,0.22638965366659886,"{'activation': 'tanh', 'alpha': np.float64(0.0020568253874361205), 'hidden_layer_sizes': (1024, 384), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.000561515524015066), 'max_iter': 217, 'solver': 'adam'}",tanh,0.0020568253874361205,"(1024, 384)",invscaling,0.000561515524015066,217,adam
21,3,0.5076702039790275,0.10352353082212254,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.07797105129481988), 'hidden_layer_sizes': (768, 512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.004193494869125644), 'max_iter': 527, 'solver': 'lbfgs'}",relu,0.07797105129481988,"(768, 512, 256)",invscaling,0.004193494869125644,527,lbfgs
21,4,0.4659511795394149,0.08860783435101852,0.9430978803142883,0.01843015791535856,"{'activation': 'relu', 'alpha': np.float64(0.06553564975516213), 'hidden_layer_sizes': (1024, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00026591997260398144), 'max_iter': 505, 'solver': 'adam'}",relu,0.06553564975516213,"(1024, 128)",adaptive,0.00026591997260398144,505,adam
22,0,0.16468096609273078,0.08935507168211697,0.7059821232695501,0.19524373363969685,"{'activation': 'tanh', 'alpha': np.float64(0.01967915858604063), 'hidden_layer_sizes': (768, 512, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.006396465489736171), 'max_iter': 749, 'solver': 'adam'}",tanh,0.01967915858604063,"(768, 512, 256)",adaptive,0.006396465489736171,749,adam
22,1,0.47614813849720977,0.07321813717326003,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.0045386639199176855), 'hidden_layer_sizes': (2048, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00151188421468701), 'max_iter': 201, 'solver': 'lbfgs'}",relu,0.0045386639199176855,"(2048, 256)",adaptive,0.00151188421468701,201,lbfgs
22,2,0.1200063729315787,0.06738255619515038,0.253828641869195,0.208988780482332,"{'activation': 'logistic', 'alpha': np.float64(0.0101961160573487), 'hidden_layer_sizes': (2048, 512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0006489278043709574), 'max_iter': 735, 'solver': 'adam'}",logistic,0.0101961160573487,"(2048, 512, 256)",invscaling,0.0006489278043709574,735,adam
22,3,0.4709547587775142,0.0708456111936539,0.9454614923510544,0.01100009750101848,"{'activation': 'relu', 'alpha': np.float64(0.0007610899021293753), 'hidden_layer_sizes': (1024, 512, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.06507107631329194), 'max_iter': 631, 'solver': 'sgd'}",relu,0.0007610899021293753,"(1024, 512, 256)",constant,0.06507107631329194,631,sgd
22,4,0.033899159320211945,0.010714039321606925,0.03379601526559798,0.010311592041839202,"{'activation': 'logistic', 'alpha': np.float64(0.0005188680421247292), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0005301351948056143), 'max_iter': 533, 'solver': 'sgd'}",logistic,0.0005188680421247292,"(768, 256)",constant,0.0005301351948056143,533,sgd
23,0,0.03205379375146817,0.0012433912095008847,0.031947784032946694,0.0001691393909689946,"{'activation': 'logistic', 'alpha': np.float64(0.012223209657481568), 'hidden_layer_sizes': (1024, 512), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.002341882255673066), 'max_iter': 320, 'solver': 'sgd'}",logistic,0.012223209657481568,"(1024, 512)",invscaling,0.002341882255673066,320,sgd
23,1,0.036124500822175235,0.012203557602353162,0.03199644123095462,0.00015513758005639472,"{'activation': 'logistic', 'alpha': np.float64(6.811078759463069e-05), 'hidden_layer_sizes': (512, 512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.006283387663255014), 'max_iter': 602, 'solver': 'sgd'}",logistic,6.811078759463069e-05,"(512, 512, 256)",invscaling,0.006283387663255014,602,sgd
23,2,0.031178932178932174,0.0027480904550985486,0.03141761380194673,0.0016927176638605363,"{'activation': 'logistic', 'alpha': np.float64(1.916438190724164e-05), 'hidden_layer_sizes': (768, 512, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.02019121105917452), 'max_iter': 791, 'solver': 'sgd'}",logistic,1.916438190724164e-05,"(768, 512, 256)",constant,0.02019121105917452,791,sgd
23,3,0.06018651164049602,0.030404665968387635,0.11429308094095644,0.05033339132537725,"{'activation': 'tanh', 'alpha': np.float64(0.0002128573882239237), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.06652960098104377), 'max_iter': 270, 'solver': 'adam'}",tanh,0.0002128573882239237,"(1024, 512, 128)",invscaling,0.06652960098104377,270,adam
23,4,0.09315936514465926,0.05236425698509385,0.2759205405645356,0.12933442224935843,"{'activation': 'tanh', 'alpha': np.float64(2.7823216589317436e-05), 'hidden_layer_sizes': (256,), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.05460376215086863), 'max_iter': 533, 'solver': 'adam'}",tanh,2.7823216589317436e-05,"(256,)",invscaling,0.05460376215086863,533,adam
24,0,0.4042578255078254,0.12125851245893757,0.8877941695667619,0.09121312434766295,"{'activation': 'relu', 'alpha': np.float64(0.0015936534012944014), 'hidden_layer_sizes': (512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.00013909021944768376), 'max_iter': 613, 'solver': 'adam'}",relu,0.0015936534012944014,"(512, 256)",invscaling,0.00013909021944768376,613,adam
24,1,0.4978349594162288,0.06257250057376702,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.07822986756890074), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00019073489259680278), 'max_iter': 470, 'solver': 'lbfgs'}",relu,0.07822986756890074,"(1024, 512, 128)",adaptive,0.00019073489259680278,470,lbfgs
