search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
1,18,0.4918704858280171,0.04297287647953219,1.0,0.0,"{'alpha': np.float64(0.004593093057982665), 'hidden_layer_sizes': (1024, 256, 64), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.08404772647061351), 'max_iter': 727, 'solver': 'lbfgs'}",0.004593093057982665,"(1024, 256, 64)",adaptive,0.08404772647061351,727,lbfgs
1,19,0.45295326488608223,0.08968999003018624,0.9245690934159192,0.039271728562718496,"{'alpha': np.float64(0.0022596859576647097), 'hidden_layer_sizes': (512, 512), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.006848192822573134), 'max_iter': 783, 'solver': 'sgd'}",0.0022596859576647097,"(512, 512)",constant,0.006848192822573134,783,sgd
2,0,0.0820285094668761,0.020877093454113784,0.08486341780017563,0.005892909964645112,"{'alpha': np.float64(1.0557220849513125e-05), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00010987829802068637), 'max_iter': 1172, 'solver': 'sgd'}",1.0557220849513125e-05,"(1024, 512, 128)",constant,0.00010987829802068637,1172,sgd
2,1,0.058939898530178114,0.033814178754819554,0.06991899427819598,0.047941794457577194,"{'alpha': np.float64(0.0001290534297634839), 'hidden_layer_sizes': (2048, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.015998373758235637), 'max_iter': 721, 'solver': 'adam'}",0.0001290534297634839,"(2048, 256)",constant,0.015998373758235637,721,adam
2,2,0.4828952555070202,0.04434176187468485,1.0,0.0,"{'alpha': np.float64(5.4814414288163394e-05), 'hidden_layer_sizes': (768, 256, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0776565622350284), 'max_iter': 1095, 'solver': 'lbfgs'}",5.4814414288163394e-05,"(768, 256, 128)",constant,0.0776565622350284,1095,lbfgs
2,3,0.43432054819442084,0.0649327696856899,0.9242192490824618,0.031160871248570747,"{'alpha': np.float64(0.002938644323265611), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.04483236958208264), 'max_iter': 643, 'solver': 'sgd'}",0.002938644323265611,"(768, 256)",adaptive,0.04483236958208264,643,sgd
2,4,0.45543996175544244,0.05350058825619614,0.9493664170507561,0.008516494366770953,"{'alpha': np.float64(0.0018259695474525696), 'hidden_layer_sizes': (1024, 384), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00038100004745307965), 'max_iter': 1119, 'solver': 'adam'}",0.0018259695474525696,"(1024, 384)",constant,0.00038100004745307965,1119,adam
2,5,0.3988562277076208,0.07194352484638179,0.9191906738892172,0.05133214942906315,"{'alpha': np.float64(0.004067719950586235), 'hidden_layer_sizes': (1536, 384, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.005027808098761509), 'max_iter': 1102, 'solver': 'sgd'}",0.004067719950586235,"(1536, 384, 128)",adaptive,0.005027808098761509,1102,sgd
2,6,0.4268692759871655,0.029946030969946143,0.9115876008168666,0.06594545751701374,"{'alpha': np.float64(0.00017313225951116133), 'hidden_layer_sizes': (1024,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.05533638098921909), 'max_iter': 989, 'solver': 'sgd'}",0.00017313225951116133,"(1024,)",adaptive,0.05533638098921909,989,sgd
2,7,0.47194197213698486,0.03274685209038473,1.0,0.0,"{'alpha': np.float64(0.00013204091683071415), 'hidden_layer_sizes': (2048, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0062002841008944095), 'max_iter': 653, 'solver': 'lbfgs'}",0.00013204091683071415,"(2048, 256)",constant,0.0062002841008944095,653,lbfgs
2,8,0.46953658434901724,0.02830719610934943,0.945673974608102,0.010277498470038685,"{'alpha': np.float64(0.0022923437764081813), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0001510114113298357), 'max_iter': 635, 'solver': 'adam'}",0.0022923437764081813,"(1024, 256)",constant,0.0001510114113298357,635,adam
2,9,0.4917775463430195,0.03028239276917836,1.0,0.0,"{'alpha': np.float64(6.374104180409623e-05), 'hidden_layer_sizes': (1024, 512), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0001451148342285744), 'max_iter': 888, 'solver': 'lbfgs'}",6.374104180409623e-05,"(1024, 512)",adaptive,0.0001451148342285744,888,lbfgs
2,10,0.44522382899178564,0.018911023344942882,0.9447008863518536,0.010255431724890327,"{'alpha': np.float64(0.006712942938432103), 'hidden_layer_sizes': (1024,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.005075059887818015), 'max_iter': 771, 'solver': 'adam'}",0.006712942938432103,"(1024,)",constant,0.005075059887818015,771,adam
